sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname
,,7.053934488,,,2.36,,117.33,840.0,,5357.0,0.863,,,4.498,,13.916,,,K01165.01
,,11.9283194,,,0.98,,37.8,632.0,,5010.0,0.75,,,4.545,,15.577,,,K07910.01
1.0,0.0,1.117027,,,16.9,,,,0.0,,0.27,,,,164.337,16.76,11.735,15.2668,EPIC 213951550
,,12.5722897,,,1.09,,145.82,886.0,,6084.0,1.169,,,4.319,,12.885,,,K02555.01
,,3.7146478,,,15.2308,,698.148,1432.0,,5783.0,1.32,,,4.21,,,,,2579.01
,,0.760019,,,7.2902589,,9667.9228084,2529.0245379,,5690.2,1.65999,,,4.0,,,,,4838.01
,,36.292017,,,3.1,,54.91,694.0,,5843.0,1.615,,,4.069,,15.251,,,K02487.01
,,2.16146908,,,0.95,,1155.45,1487.0,,6047.0,1.013,,,4.422,,15.535,,,K07443.01
,,1.891268461,,,399.93,,153163.32,5047.0,,11287.0,4.662,,,3.642,,10.672,,,K06286.01
,,8.8088443,,,10.7596,,2579.38,1985.0,,8072.0,1.58,,,4.37,,,,,3358.01
,,2.819453322,,,29.8,,803.4,1357.0,,5767.0,1.074,,,4.33,,14.569,,,K01539.01
,,1.574063832,,,28.63,,1622.84,1619.0,,5951.0,0.962,,,4.411,,14.636,,,K06787.01
,,0.909314811,,,0.99,,9311.68,2503.0,,6508.0,1.447,,,4.163,,12.73,,,K04553.01
,,12.5748872,,,1.03,,3.49,349.0,,3552.0,0.387,,,4.867,,14.94,,,K04987.01
,,18.11473813,,,2.49,,112.43,830.0,,6109.0,1.36,,,4.247,,12.841,,,K01532.01
1.0,3.0,3.648103,0.0395,,1.13,1.86,,715.94,0.0,4236.0,0.58,0.62,-0.29,4.719,29.661,10.37,7.193,9.83773,GJ 9827
,,1.023471798,,,3.78,,2103.09,1727.0,,5741.0,0.893,,,4.491,,15.381,,,K01012.01
,,9.80321143,,,2.99,,152.12,896.0,,6170.0,0.992,,,4.472,,15.439,,,K01572.01
,,5.41908491,,,1.38,,225.71,989.0,,5814.0,0.881,,,4.523,,14.271,,,K01436.03
,,12.80758,,,11.4222,,28.4034,643.0,,5094.4,0.63,,,,,,,,1427.01
,,27.6775212,,,23.04,,22.91,558.0,,5797.0,0.828,,,4.563,,13.678,,,K03378.01
,,0.759766456,,,29.02,,4850.1,2128.0,,6174.0,1.026,,,4.455,,15.932,,,K01679.01
,,2.384052875,,,17.06,,244.87,1010.0,,4794.0,0.701,,,4.58,,15.836,,,K00836.01
,,46.50446209,,,,,,,,,,,,,,15.682,,,K05599.01
,,3.74788322,,,1.32,,266.76,1031.0,,5514.0,0.826,,,4.569,,15.817,,,K04475.01
,,245.01902,,,1.98,,2.17,310.0,,6167.0,1.01,,,4.451,,14.881,,,K04201.01
,,0.93376962,,,16.3,,3343.62,1937.0,,6056.0,0.975,,,4.448,,15.318,,,K04547.01
1.0,2.0,2.399964,0.031,0.13,1.32,,211.0,,0.0,4402.71,0.619575,0.701968,,,252.596,14.166,11.423,13.9152,K2-35
,,13.7270395,,,2.95921,,68.9542,802.0,,5777.0,1.09,,,4.38035,,,,,1723.01
